bucket_name,class,probabilities,seed_id
Top tracks from related artists,1,0.06,7k2lqQ4Vt9435X24qUISki
Top tracks from related artists,2,0.16,7k2lqQ4Vt9435X24qUISki
Top tracks from related artists,3,0.26,7k2lqQ4Vt9435X24qUISki
Top tracks from related artists,4,0.2,7k2lqQ4Vt9435X24qUISki
Top tracks from related artists,5,0.32,7k2lqQ4Vt9435X24qUISki
Similar tracks from related artists,1,0.21,7k2lqQ4Vt9435X24qUISki
Similar tracks from related artists,2,0.13,7k2lqQ4Vt9435X24qUISki
Similar tracks from related artists,3,0.11,7k2lqQ4Vt9435X24qUISki
Similar tracks from related artists,4,0.51,7k2lqQ4Vt9435X24qUISki
Similar tracks from related artists,5,0.04,7k2lqQ4Vt9435X24qUISki
Similar tracks from vantage point database,1,0.3,7k2lqQ4Vt9435X24qUISki
Similar tracks from vantage point database,2,0.11,7k2lqQ4Vt9435X24qUISki
Similar tracks from vantage point database,3,0.18,7k2lqQ4Vt9435X24qUISki
Similar tracks from vantage point database,4,0.36,7k2lqQ4Vt9435X24qUISki
Similar tracks from vantage point database,5,0.05,7k2lqQ4Vt9435X24qUISki
Top tracks from related artists,1,0.1,7qiZfU4dY1lWllzX7mPBI3
Top tracks from related artists,2,0.09,7qiZfU4dY1lWllzX7mPBI3
Top tracks from related artists,3,0.11,7qiZfU4dY1lWllzX7mPBI3
Top tracks from related artists,4,0.08,7qiZfU4dY1lWllzX7mPBI3
Top tracks from related artists,5,0.62,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from related artists,1,0.24,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from related artists,2,0.19,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from related artists,3,0.11,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from related artists,4,0.12,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from related artists,5,0.34,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from vantage point database,1,0.22,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from vantage point database,2,0.2,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from vantage point database,3,0.07,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from vantage point database,4,0.32,7qiZfU4dY1lWllzX7mPBI3
Similar tracks from vantage point database,5,0.19,7qiZfU4dY1lWllzX7mPBI3
Top tracks from related artists,1,0.06,6txo4X8yd8FekwFFtI82Ea
Top tracks from related artists,2,0.16,6txo4X8yd8FekwFFtI82Ea
Top tracks from related artists,3,0.2,6txo4X8yd8FekwFFtI82Ea
Top tracks from related artists,4,0.3,6txo4X8yd8FekwFFtI82Ea
Top tracks from related artists,5,0.28,6txo4X8yd8FekwFFtI82Ea
Similar tracks from related artists,1,0.09,6txo4X8yd8FekwFFtI82Ea
Similar tracks from related artists,2,0.2,6txo4X8yd8FekwFFtI82Ea
Similar tracks from related artists,3,0.27,6txo4X8yd8FekwFFtI82Ea
Similar tracks from related artists,4,0.3,6txo4X8yd8FekwFFtI82Ea
Similar tracks from related artists,5,0.14,6txo4X8yd8FekwFFtI82Ea
Similar tracks from vantage point database,1,0.08,6txo4X8yd8FekwFFtI82Ea
Similar tracks from vantage point database,2,0.13,6txo4X8yd8FekwFFtI82Ea
Similar tracks from vantage point database,3,0.26,6txo4X8yd8FekwFFtI82Ea
Similar tracks from vantage point database,4,0.44,6txo4X8yd8FekwFFtI82Ea
Similar tracks from vantage point database,5,0.09,6txo4X8yd8FekwFFtI82Ea
